Vardas         Pavarde             ND1            ND2            ND3            ND4            ND5            ND6            ND7            ND8            ND9            ND10           ND11           ND12           ND13           ND14           ND15           Egz.           
Vardas21       Pavarde21           1              7              9              8              6              6              9              8              6              10             4              8              4              1              10             6              
Vardas22       Pavarde22           8              6              7              10             7              1              5              3              4              10             1              5              3              3              6              6              
Vardas23       Pavarde23           8              8              9              7              2              4              2              5              6              6              3              8              5              9              10             10             
Vardas24       Pavarde24           10             2              10             4              7              2              4              4              4              9              2              9              5              10             4              4              
Vardas25       Pavarde25           8              1              4              5              10             6              1              8              5              8              10             3              7              7              2              8              
Vardas26       Pavarde26           6              4              6              4              4              10             10             1              9              9              7              4              10             5              3              4              
Vardas27       Pavarde27           10             4              8              6              8              9              2              2              3              3              8              10             9              10             10             4              
Vardas28       Pavarde28           2              4              9              3              6              6              3              8              4              5              3              7              7              7              2              9              
Vardas29       Pavarde29           9              1              1              6              1              6              7              10             9              4              5              9              3              10             1              7              
Vardas30       Pavarde30           6              1              8              8              8              9              6              9              5              8              1              9              2              6              9              5              
Vardas31       Pavarde31           1              10             7              9              7              8              1              3              6              9              3              5              9              8              7              4              
Vardas32       Pavarde32           6              9              7              10             7              1              3              2              6              6              3              1              6              6              10             9              
Vardas33       Pavarde33           7              4              10             10             2              8              1              6              8              9              3              9              4              8              9              3              
Vardas34       Pavarde34           10             5              1              8              1              1              3              8              7              10             7              8              3              3              7              6              
Vardas35       Pavarde35           2              10             10             4              3              5              4              2              4              7              1              2              5              4              6              8              
Vardas36       Pavarde36           2              10             10             7              6              2              5              5              5              1              9              1              2              3              1              4              
Vardas37       Pavarde37           8              5              3              9              1              7              6              1              7              5              8              4              7              7              9              7              
Vardas38       Pavarde38           8              3              8              4              6              9              7              8              9              6              1              6              1              8              9              2              
Vardas39       Pavarde39           5              10             8              5              1              3              10             5              3              5              6              4              6              8              5              6              
Vardas40       Pavarde40           10             7              6              9              9              10             8              8              4              9              3              1              10             4              10             5              
Vardas41       Pavarde41           1              3              1              9              3              8              8              1              8              2              9              1              10             9              1              4              
Vardas42       Pavarde42           3              5              9              1              9              7              7              5              6              4              8              1              6              5              3              6              
Vardas43       Pavarde43           4              7              1              8              10             2              6              1              3              3              5              10             2              10             8              10             
Vardas44       Pavarde44           8              1              1              1              1              10             8              1              2              9              5              9              2              2              8              6              
Vardas45       Pavarde45           5              8              5              3              1              8              8              4              1              5              5              10             3              10             4              4              
Vardas46       Pavarde46           3              6              10             10             3              2              3              5              10             2              2              6              4              2              8              7              
Vardas47       Pavarde47           4              2              8              3              3              3              7              10             5              8              3              10             2              3              6              6              
Vardas48       Pavarde48           8              10             4              7              5              5              10             3              1              6              1              4              6              3              1              6              
Vardas49       Pavarde49           8              4              6              1              7              8              6              6              9              1              5              2              10             7              8              2              
Vardas50       Pavarde50           1              4              2              4              9              5              7              7              5              2              7              4              1              5              4              10             
Vardas51       Pavarde51           2              7              4              4              6              4              4              3              9              3              3              7              10             1              2              10             
Vardas52       Pavarde52           2              1              2              9              2              5              8              10             4              10             10             6              4              4              4              9              
Vardas53       Pavarde53           9              9              9              8              3              8              3              4              10             7              5              10             5              3              7              6              
Vardas54       Pavarde54           3              8              5              8              4              2              10             8              1              9              10             1              7              9              7              7              
Vardas55       Pavarde55           8              7              3              1              5              8              1              7              3              9              10             9              7              7              9              7              
Vardas56       Pavarde56           1              6              3              2              4              4              6              3              7              8              7              5              7              2              8              2              
Vardas57       Pavarde57           7              8              6              6              4              3              4              6              6              9              9              6              1              10             5              2              
Vardas58       Pavarde58           2              8              2              4              9              3              6              10             7              2              2              4              10             4              10             10             
Vardas59       Pavarde59           2              9              7              9              9              9              8              1              3              1              2              4              7              4              9              10             
Vardas60       Pavarde60           7              10             4              6              2              6              10             8              9              10             1              5              1              5              3              2              
Vardas61       Pavarde61           5              9              2              8              2              6              3              7              1              5              5              10             2              7              9              8              
Vardas62       Pavarde62           3              8              4              3              5              4              1              2              8              5              4              3              2              2              2              5              
Vardas63       Pavarde63           4              1              8              8              3              3              10             10             9              6              4              8              8              2              9              6              
Vardas64       Pavarde64           8              1              2              6              2              3              7              5              8              6              4              3              1              1              6              3              
Vardas65       Pavarde65           4              2              6              10             3              6              4              3              5              1              1              8              3              5              5              8              
Vardas66       Pavarde66           2              1              8              6              5              9              5              1              8              9              5              1              10             8              2              5              
Vardas67       Pavarde67           3              7              4              5              8              5              1              9              4              10             8              6              3              4              1              4              
Vardas68       Pavarde68           8              8              6              8              10             8              7              2              3              5              9              3              9              7              4              5              
Vardas69       Pavarde69           10             5              8              7              1              10             10             4              4              2              8              1              9              2              9              6              
Vardas70       Pavarde70           2              10             8              8              9              1              10             4              8              7              1              7              6              9              7              10             
Vardas71       Pavarde71           3              2              2              10             7              9              9              5              5              5              7              10             3              10             10             9              
Vardas72       Pavarde72           9              10             8              9              8              6              5              6              2              10             10             4              7              1              9              3              
Vardas73       Pavarde73           9              1              4              4              9              8              1              7              1              8              5              7              3              5              8              2              
Vardas74       Pavarde74           5              3              8              10             2              2              10             1              2              8              2              9              7              9              2              10             
Vardas75       Pavarde75           7              8              1              4              8              5              5              3              3              6              4              3              5              3              2              3              
Vardas76       Pavarde76           5              4              10             2              8              9              3              3              6              5              6              9              7              2              5              9              
Vardas77       Pavarde77           5              1              3              5              8              5              10             5              8              4              5              4              6              8              3              6              
Vardas78       Pavarde78           10             6              9              8              8              4              8              10             9              6              8              1              3              6              3              6              
Vardas79       Pavarde79           2              4              7              6              7              2              3              3              5              1              2              6              6              7              3              1              
Vardas80       Pavarde80           8              1              8              8              8              4              9              2              3              10             7              5              8              7              3              4              
Vardas81       Pavarde81           4              7              1              3              5              3              1              10             2              10             2              1              1              4              2              9              
Vardas82       Pavarde82           7              1              1              7              9              3              5              6              3              6              6              5              2              1              2              10             
Vardas83       Pavarde83           2              2              7              7              8              7              4              4              6              2              3              9              7              6              8              1              
Vardas84       Pavarde84           4              4              6              10             1              3              3              9              4              1              10             7              2              5              6              8              
Vardas85       Pavarde85           6              1              6              5              4              10             3              2              6              5              2              10             10             10             6              4              
Vardas86       Pavarde86           4              4              6              3              9              2              5              7              3              5              2              3              10             7              10             4              
Vardas87       Pavarde87           6              3              6              6              2              4              8              7              3              8              5              10             6              9              6              2              
Vardas88       Pavarde88           7              10             9              7              8              5              6              1              4              7              1              6              1              2              6              5              
Vardas89       Pavarde89           5              7              5              8              8              9              2              1              10             10             3              7              1              2              4              2              
Vardas90       Pavarde90           3              3              6              7              2              3              5              4              9              2              4              2              7              7              8              8              
Vardas91       Pavarde91           6              8              7              10             10             2              2              4              6              1              1              1              4              2              7              2              
Vardas92       Pavarde92           2              4              5              6              8              7              4              5              3              6              3              1              5              4              9              2              
Vardas93       Pavarde93           10             3              3              9              10             6              1              6              10             3              9              3              6              10             6              7              
Vardas94       Pavarde94           2              8              7              10             2              9              2              7              10             1              1              8              4              4              7              9              
Vardas95       Pavarde95           3              4              1              8              1              4              5              9              10             10             2              6              2              10             6              1              
Vardas96       Pavarde96           2              9              5              7              4              3              3              9              4              9              4              6              5              10             7              3              
Vardas97       Pavarde97           2              4              3              7              8              6              1              10             7              5              10             10             8              5              2              9              
Vardas98       Pavarde98           5              9              10             4              7              6              2              1              7              7              3              9              7              3              1              7              
Vardas99       Pavarde99           9              9              9              3              6              8              4              3              8              7              8              9              2              9              2              1              
Vardas100      Pavarde100          10             6              2              9              7              8              1              9              10             7              9              5              3              5              6              4              
Vardas101      Pavarde101          3              10             1              6              8              9              10             10             7              9              6              4              8              7              1              6              
Vardas102      Pavarde102          10             6              10             3              10             9              3              3              10             8              10             2              9              9              10             2              
Vardas103      Pavarde103          6              3              4              4              10             9              3              7              10             4              8              6              9              3              5              10             
Vardas104      Pavarde104          6              10             4              7              4              3              3              4              9              8              9              1              5              9              6              8              
Vardas105      Pavarde105          6              6              4              4              6              4              8              9              9              5              4              10             1              1              2              2              
Vardas106      Pavarde106          2              8              4              8              10             4              5              2              2              5              9              8              10             10             5              8              
Vardas107      Pavarde107          3              6              3              1              4              4              8              3              5              2              2              1              2              10             4              4              
Vardas108      Pavarde108          2              5              5              9              5              8              5              6              6              5              10             2              9              10             7              3              
Vardas109      Pavarde109          1              1              7              7              1              1              6              4              10             5              5              4              6              8              4              3              
Vardas110      Pavarde110          8              3              9              3              6              7              9              6              3              8              10             5              2              10             4              10             
Vardas111      Pavarde111          5              7              8              8              10             7              2              1              3              3              3              4              5              9              4              9              
Vardas112      Pavarde112          10             6              9              4              9              2              6              7              8              3              9              2              8              3              9              1              
Vardas113      Pavarde113          7              4              5              10             5              8              6              6              2              5              7              8              8              7              1              9              
Vardas114      Pavarde114          2              8              2              7              6              3              5              2              4              3              8              1              1              4              5              8              
Vardas115      Pavarde115          6              2              6              5              7              9              8              10             2              4              7              5              10             6              8              8              
Vardas116      Pavarde116          1              3              2              4              8              3              5              8              9              8              4              1              10             3              2              9              
Vardas117      Pavarde117          3              3              9              5              8              2              4              6              1              2              9              4              8              3              7              2              
Vardas118      Pavarde118          5              4              6              3              4              2              1              2              5              8              6              3              3              1              2              8              
Vardas119      Pavarde119          8              2              9              2              7              9              8              2              6              2              10             2              5              4              7              3              
Vardas120      Pavarde120          10             8              3              2              8              3              6              8              6              5              4              5              9              6              9              6              
Vardas121      Pavarde121          10             5              7              1              8              3              7              6              5              2              8              3              10             10             7              8              
Vardas122      Pavarde122          1              3              5              10             6              3              10             8              5              9              8              9              1              8              8              5              
Vardas123      Pavarde123          7              5              9              8              6              7              7              3              2              8              9              2              10             4              3              2              
Vardas124      Pavarde124          9              6              4              5              2              10             1              8              6              10             7              3              8              1              7              8              
Vardas125      Pavarde125          7              3              9              10             1              5              7              8              1              3              4              10             5              9              5              8              
Vardas126      Pavarde126          3              3              9              8              8              9              6              8              10             9              6              2              1              6              1              4              
Vardas127      Pavarde127          8              6              7              2              4              2              6              2              8              8              9              10             5              7              9              10             
Vardas128      Pavarde128          9              8              6              2              3              3              9              6              3              8              10             10             7              9              6              8              
Vardas129      Pavarde129          9              10             2              2              3              4              1              7              3              7              2              4              7              8              1              4              
Vardas130      Pavarde130          9              7              7              8              2              4              10             7              6              4              5              3              5              7              10             2              
Vardas131      Pavarde131          3              5              9              3              4              2              3              5              10             7              10             1              10             2              10             7              
Vardas132      Pavarde132          2              6              6              5              10             7              3              1              2              9              5              9              3              2              9              1              
Vardas133      Pavarde133          3              3              1              9              5              7              5              2              5              4              1              5              6              10             2              3              
Vardas134      Pavarde134          3              2              5              4              2              10             8              2              10             8              10             3              1              9              8              4              
Vardas135      Pavarde135          10             4              9              8              8              5              4              3              1              7              6              5              10             7              5              7              
Vardas136      Pavarde136          9              8              2              6              4              9              5              8              3              3              9              9              5              3              4              9              
Vardas137      Pavarde137          2              6              3              5              3              9              1              5              7              9              10             5              2              2              3              4              
Vardas138      Pavarde138          3              3              6              9              4              7              4              8              1              7              1              7              2              1              10             9              
Vardas139      Pavarde139          7              7              3              10             3              5              5              2              1              9              10             2              1              6              8              3              
Vardas140      Pavarde140          4              2              2              8              3              6              3              3              7              2              2              1              5              7              5              5              
Vardas141      Pavarde141          4              2              10             6              9              9              7              1              9              6              2              10             10             9              2              2              
Vardas142      Pavarde142          10             7              3              7              1              6              6              10             10             2              2              2              6              1              10             6              
Vardas143      Pavarde143          3              4              7              9              3              10             9              9              7              5              1              6              8              4              9              10             
Vardas144      Pavarde144          9              3              5              9              4              8              9              1              1              4              1              2              4              1              8              9              
Vardas145      Pavarde145          4              7              5              7              2              2              3              9              1              9              1              10             8              9              7              2              
Vardas146      Pavarde146          8              8              5              6              9              6              4              3              3              6              3              9              5              1              8              9              
Vardas147      Pavarde147          7              8              6              10             5              8              7              10             6              1              8              5              7              2              10             5              
Vardas148      Pavarde148          8              9              6              1              10             4              5              10             6              10             1              6              8              2              9              1              
Vardas149      Pavarde149          7              9              7              8              9              1              10             2              6              4              9              1              9              3              7              7              
Vardas150      Pavarde150          4              5              10             8              5              1              3              7              9              7              8              6              9              7              5              4              
Vardas151      Pavarde151          5              2              7              4              10             9              9              8              1              1              2              10             1              1              7              6              
Vardas152      Pavarde152          6              2              5              3              7              10             4              8              6              8              8              6              4              8              5              10             
Vardas153      Pavarde153          1              3              2              5              9              2              6              4              2              2              6              1              4              10             7              6              
Vardas154      Pavarde154          6              7              1              7              6              6              3              1              7              7              10             2              4              6              8              2              
Vardas155      Pavarde155          3              6              5              7              2              10             1              9              5              10             6              4              5              3              7              3              
Vardas156      Pavarde156          9              7              1              8              8              8              10             1              6              7              6              4              5              5              6              1              
Vardas157      Pavarde157          3              7              4              5              4              6              1              7              4              1              7              9              4              5              4              10             
Vardas158      Pavarde158          5              6              5              7              4              4              7              2              2              5              2              3              6              5              8              5              
Vardas159      Pavarde159          4              1              8              1              9              6              1              5              7              7              9              4              7              8              1              2              
Vardas160      Pavarde160          8              6              4              5              3              2              5              1              7              5              6              7              9              2              9              3              
Vardas161      Pavarde161          9              4              4              4              10             4              2              8              2              6              4              5              4              2              5              9              
Vardas162      Pavarde162          10             5              4              8              3              7              5              7              8              3              1              9              6              8              9              6              
Vardas163      Pavarde163          6              8              5              9              10             5              9              9              10             10             3              2              7              2              3              5              
